Date, Open, High, Low, Close, Volume
06/24/24, 207.72, 212.70, 206.59, 208.14, 80727008
06/21/24, 210.39, 211.89, 207.11, 207.49, 246421406
06/20/24, 213.93, 214.24, 208.85, 209.68, 86172445
06/18/24, 217.59, 218.63, 213.00, 214.29, 79943250
06/17/24, 213.37, 218.95, 212.72, 216.67, 93728305
06/14/24, 213.85, 215.17, 211.30, 212.49, 70122750
06/13/24, 214.74, 216.75, 211.60, 214.24, 97862727
06/12/24, 207.37, 220.20, 206.90, 213.07, 198134297
06/11/24, 193.65, 207.16, 193.63, 207.15, 172373297
06/10/24, 196.90, 197.30, 192.15, 193.12, 97262078
06/07/24, 194.65, 196.94, 194.14, 196.89, 53103910
06/06/24, 195.685, 196.50, 194.17, 194.48, 41181754
06/05/24, 195.40, 196.90, 194.87, 195.87, 54156793
06/04/24, 194.635, 195.32, 193.0342, 194.35, 47471449
06/03/24, 192.90, 194.99, 192.52, 194.03, 50080539
05/31/24, 191.44, 192.57, 189.91, 192.25, 75158281
05/30/24, 190.76, 192.18, 190.63, 191.29, 49947941
05/29/24, 189.61, 192.247, 189.51, 190.29, 53068020
05/28/24, 191.51, 193.00, 189.10, 189.99, 52280047
05/24/24, 188.82, 190.58, 188.0404, 189.98, 36326980
05/23/24, 190.98, 191.00, 186.625, 186.88, 51005922
05/22/24, 192.265, 192.8231, 190.27, 190.90, 34648551
05/21/24, 191.09, 192.73, 190.9201, 192.35, 42309398
05/20/24, 189.325, 191.9199, 189.01, 191.04, 44361281
05/17/24, 189.51, 190.81, 189.18, 189.87, 41282930
05/16/24, 190.47, 191.095, 189.6601, 189.84, 52845230
05/15/24, 187.91, 190.65, 187.37, 189.72, 70399992
05/14/24, 187.51, 188.30, 186.29, 187.43, 52393621
05/13/24, 185.435, 187.10, 184.62, 186.28, 72044805
05/10/24, 184.90, 185.09, 182.13, 183.05, 50759500
05/09/24, 182.56, 184.66, 182.11, 184.57, 48982969
05/08/24, 182.85, 183.07, 181.45, 182.74, 45057090
05/07/24, 183.45, 184.90, 181.32, 182.40, 77305766
05/06/24, 182.354, 184.20, 180.42, 181.71, 78569672
05/03/24, 186.645, 187.00, 182.66, 183.38, 163224094
05/02/24, 172.51, 173.415, 170.89, 173.03, 94214922
05/01/24, 169.58, 172.705, 169.11, 169.30, 50383152
04/30/24, 173.33, 174.99, 170.00, 170.33, 65934781
04/29/24, 173.37, 176.03, 173.10, 173.50, 68169422
04/26/24, 169.88, 171.34, 169.18, 169.30, 44838352
04/25/24, 169.525, 170.61, 168.1511, 169.89, 50558328
04/24/24, 166.54, 169.30, 166.21, 169.02, 48251840
04/23/24, 165.35, 167.05, 164.92, 166.90, 49537762
04/22/24, 165.515, 167.26, 164.77, 165.84, 48116441
04/19/24, 166.21, 166.40, 164.075, 165.00, 68149375
04/18/24, 168.03, 168.64, 166.55, 167.04, 43122898
04/17/24, 169.61, 170.65, 168.00, 168.00, 50901207
04/16/24, 171.75, 173.76, 168.27, 169.38, 73711242
04/15/24, 175.36, 176.63, 172.50, 172.69, 73531766
04/12/24, 174.26, 178.36, 174.21, 176.55, 101670898
04/11/24, 168.34, 175.46, 168.16, 175.04, 91070281
04/10/24, 168.80, 169.09, 167.11, 167.78, 49709340
04/09/24, 168.70, 170.08, 168.35, 169.67, 42451207
04/08/24, 169.03, 169.20, 168.24, 168.45, 37425512
04/05/24, 169.59, 170.39, 168.95, 169.58, 42104832
04/04/24, 170.29, 171.92, 168.82, 168.82, 53704391
04/03/24, 168.79, 170.68, 168.58, 169.65, 47691719
04/02/24, 169.08, 169.34, 168.2302, 168.84, 49329480
04/01/24, 171.19, 171.25, 169.475, 170.03, 46240500
03/28/24, 171.75, 172.23, 170.51, 171.48, 65672688
03/27/24, 170.41, 173.60, 170.11, 173.31, 60273273
03/26/24, 170.00, 171.42, 169.58, 169.71, 57388449
03/25/24, 170.565, 171.94, 169.45, 170.85, 54288328
03/22/24, 171.76, 173.05, 170.06, 172.28, 71160141
03/21/24, 177.05, 177.49, 170.84, 171.37, 106181297
03/20/24, 175.72, 178.67, 175.09, 178.67, 53423102
03/19/24, 174.34, 176.605, 173.03, 176.08, 55215238
03/18/24, 175.57, 177.71, 173.52, 173.72, 75604180
03/15/24, 171.17, 172.62, 170.285, 172.62, 121752703
