Date, Open, High, Low, Close, Volume,sigma
2019-05-28,44.73,45.1475,44.4775,44.5575,111792640,0.022644873700524596
2019-05-29,44.105,44.8375,44.0,44.345,113924680,0.018328857062026395
2019-05-30,44.4875,44.8075,44.1675,44.575,84873640,0.018604822044799862
2019-05-31,44.0575,44.4975,43.7475,43.7675,108174320,0.018034310530803718
2019-06-03,43.9,44.48,42.5675,43.325,161584280,0.01798311434167259
2019-06-04,43.86,44.9575,43.63,44.91,123871844,0.02031775232926771
2019-06-05,46.07,46.2475,45.285,45.635,119093720,0.020916332160139918
2019-06-06,45.77,46.3675,45.5372,46.305,90105244,0.02136005497528155
2019-06-07,46.6275,47.98,46.4425,47.5375,122737564,0.022187469728822084
2019-06-10,47.9525,48.8425,47.905,48.145,104883400,0.017668603045892236
2019-06-11,48.715,49.0,48.4,48.7025,107731524,0.01751074142034184
2019-06-12,48.4875,48.9925,48.3463,48.5475,73012756,0.017367644387038163
2019-06-13,48.675,49.1975,48.4,48.5375,86698524,0.017321301977826355
2019-06-14,47.8862,48.3966,47.575,48.185,75045884,0.017360232754953728
2019-06-17,48.225,48.74,48.0425,48.4725,58676560,0.015495826657255178
2019-06-18,49.0125,50.0725,48.8025,49.6125,106204000,0.0157753707084312
2019-06-19,49.92,49.97,49.3275,49.4675,84496960,0.014785014287847252
2019-06-20,50.0925,50.1525,49.5075,49.865,86055960,0.013863494258763563
2019-06-21,49.7,50.2125,49.5375,49.695,191202376,0.01384750490197429
2019-06-24,49.635,50.04,49.5425,49.645,72881680,0.013743140143303542
2019-06-25,49.6075,49.815,48.8225,48.8925,84281320,0.0143787373177822
2019-06-26,49.4425,50.2475,49.3375,49.95,104270040,0.014861506533308583
2019-06-27,50.0725,50.3925,49.8925,49.935,83598884,0.013769801939895304
2019-06-28,49.67,49.8738,49.2625,49.48,124442564,0.01370241261144645
2019-07-01,50.7925,51.1225,50.1625,50.3875,109266960,0.012063005810110243
2019-07-02,50.3525,50.7831,50.34,50.6825,67740884,0.011817620523518263
2019-07-03,50.82,51.11,50.6725,51.1025,45448200,0.01163431217677279
2019-07-05,50.8375,51.27,50.725,51.0575,69062080,0.01048421024282136
2019-07-08,50.2025,50.35,49.6025,50.005,101354524,0.011634470468267344
2019-07-09,49.8,50.3775,49.7025,50.31,82312080,0.011451879844729704
2019-07-10,50.4625,50.9325,50.39,50.8075,71588564,0.011530024341576595
2019-07-11,50.8275,51.0975,50.4275,50.4375,80767360,0.011733438368769257
2019-07-12,50.6125,51.0,50.55,50.825,70380844,0.011571608582933999
2019-07-15,51.0225,51.4675,51.0,51.3025,67789680,0.011648973201598955
2019-07-16,51.1475,51.5275,50.875,51.125,67467280,0.010614353021858564
2019-07-17,51.0125,51.2729,50.8175,50.8375,56429800,0.010696549372251559
2019-07-18,51.0,51.47,50.925,51.415,74328640,0.010835785004585267
2019-07-19,51.4475,51.625,50.59,50.6475,83717244,0.011440928339400008
